Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type
20th IFSO World Congress;Obesity Surgery;;25;1;10.1007/s11695-015-1750-3;;2015;http://link.springer.com/article/10.1007/s11695-015-1750-3;Article
3D video representation and design for ubiquitous environments;Multimedia Tools and Applications;;67;1;10.1007/s11042-013-1540-7;Xingang LiuShu-Ching ChenJianhua MaLaurence T. Yang;2013;http://link.springer.com/article/10.1007/s11042-013-1540-7;Article
3D-Monitoring Big Geo Data on a seaport infrastructure based on FIWARE;Journal of Geographical Systems;;;;10.1007/s10109-018-0269-2;Pablo FernándezJosé Pablo SuárezAgustín TrujilloConrado DomínguezJosé Miguel Santana;2018;http://link.springer.com/article/10.1007/s10109-018-0269-2;Article
3LConOnt: a three-level ontology for context modelling in context-aware computing;Software & Systems Modeling;;;;10.1007/s10270-017-0611-z;Oscar CabreraXavier FranchJordi Marco;2017;http://link.springer.com/article/10.1007/s10270-017-0611-z;Article
4G LTE network access system and pricing model for IoT MVNOs: spreading smart tourism;Multimedia Tools and Applications;;76;19;10.1007/s11042-016-3369-3;Jeongeun ByunByung Woon KimChang Youl KoJeoung-Woo Byun;2017;http://link.springer.com/article/10.1007/s11042-016-3369-3;Article
A 3D simulation of river basin boundary based on the change of water-level using open government data in South Korea;Spatial Information Research;;26;2;10.1007/s41324-017-0162-y;Minsun YangJongwook AhnDongbin Shin;2018;http://link.springer.com/article/10.1007/s41324-017-0162-y;Article
A Blockchain Research Framework;Business & Information Systems Engineering;;59;6;10.1007/s12599-017-0506-0;Dr. Marten RisiusDr. Kai Spohrer;2017;http://link.springer.com/article/10.1007/s12599-017-0506-0;Article
A Blockchain-Based Approach Towards Overcoming Financial Fraud in Public Sector Services;Business & Information Systems Engineering;;59;6;10.1007/s12599-017-0502-4;Hissu HyvärinenDr. Marten RisiusGustav Friis;2017;http://link.springer.com/article/10.1007/s12599-017-0502-4;Article
A Channel Estimation and Data Transmission Scheme Utilizing Superposition Modulation for Cooperative Communication;Wireless Personal Communications;;98;1;10.1007/s11277-017-4932-6;Yeong-Seop AhnJung-In BaikHyoung-Kyu Song;2018;http://link.springer.com/article/10.1007/s11277-017-4932-6;Article
A Concept of Fuel Tank Calibration Process Automation Within IoT Infrastructure;MAPAN;;32;1;10.1007/s12647-016-0193-1;Mindaugas KnyvaVytautas KnyvaŽilvinas NakutisVytautas DumbravaMarius Saunoris;2017;http://link.springer.com/article/10.1007/s12647-016-0193-1;Article
A FCM cluster: cloud networking model for intelligent transportation in the city of Macau;Cluster Computing;;;;10.1007/s10586-017-1216-6;Zhiming CaiLianbing DengDaming LiXiang YaoDavid CoxHaoxiang Wang;2017;http://link.springer.com/article/10.1007/s10586-017-1216-6;Article
A Linked Democracy Approach for Regulating Public Health Data;Health and Technology;;7;4;10.1007/s12553-017-0191-5;Pompeu CasanovasDanuta MendelsonMarta Poblet;2017;http://link.springer.com/article/10.1007/s12553-017-0191-5;Article
A New Approach to Access Control in Cloud;Arabian Journal for Science and Engineering;;41;3;10.1007/s13369-015-1947-8;Mansura HabibaMd. Rafiqul IslamA. B. M. Shawkat AliMd. Zahidul Islam;2016;http://link.springer.com/article/10.1007/s13369-015-1947-8;Article
A New Object Searching Protocol for Multi-tag RFID;Wireless Personal Communications;;97;3;10.1007/s11277-017-4685-2;Subhasish DhalIndranil Sen Gupta;2017;http://link.springer.com/article/10.1007/s11277-017-4685-2;Article
A New Privacy Aware Payment Scheme for Wireless Charging of Electric Vehicles;Wireless Personal Communications;;92;3;10.1007/s11277-016-3589-x;Zeinab RezaeifarRasheed HussainSangjin KimHeekuck Oh;2017;http://link.springer.com/article/10.1007/s11277-016-3589-x;Article
A New Proposed the Internet of Things (IoT) Virtualization Framework Based on Sensor-as-a-Service Concept;Wireless Personal Communications;;97;1;10.1007/s11277-017-4580-x;Zainab Hassan AliHesham Arafat AliMahmoud Mohammed Badawy;2017;http://link.springer.com/article/10.1007/s11277-017-4580-x;Article
A Novel Human Computer Interaction Aware Algorithm to Minimize Energy Consumption;Wireless Personal Communications;;81;2;10.1007/s11277-014-2151-y;P. K. GuptaG. Singh;2015;http://link.springer.com/article/10.1007/s11277-014-2151-y;Article
A Review of RFID in Supply Chain Management: 2000–2015;Global Journal of Flexible Systems Management;;17;2;10.1007/s40171-016-0136-2;Ahmed MusaAl-Amin Abba Dabo;2016;http://link.springer.com/article/10.1007/s40171-016-0136-2;Article
A Scalable and Lightweight Grouping Proof Protocol for Internet of Things Applications;The Journal of Supercomputing;;74;1;10.1007/s11227-017-2106-7;Samad RostampourNasour BagheriMehdi HosseinzadehAhmad Khademzadeh;2018;http://link.springer.com/article/10.1007/s11227-017-2106-7;Article
A Smart Meter and Smart House Integrated to an IdM and Key-based Scheme for Providing Integral Security for a Smart Grid ICT;Mobile Networks and Applications;;;;10.1007/s11036-017-0960-4;Vilmar AbreuAltair SantinAlex XavierAlison LandoAdriano WitkovskiRafael RibeiroMaicon StihlerVoldi ZambenedettiIvan Chueiri;2017;http://link.springer.com/article/10.1007/s11036-017-0960-4;Article
A Survey of Verifiable Computation;Mobile Networks and Applications;;22;3;10.1007/s11036-017-0872-3;Xixun YuZheng YanAthanasios V. Vasilakos;2017;http://link.springer.com/article/10.1007/s11036-017-0872-3;Article
A TQCS-based service selection and scheduling strategy in cloud manufacturing;The International Journal of Advanced Manufacturing Technology;;82;01/abr;10.1007/s00170-015-7350-5;Yang CaoShilong WangLing KangYuan Gao;2016;http://link.springer.com/article/10.1007/s00170-015-7350-5;Article
A Trajectory Privacy Model for Radio-Frequency Identification System;Wireless Personal Communications;;90;3;10.1007/s11277-016-3381-y;Wei ZhangLongkai WuSanya LiuTao HuangYajun GuoChingfang Hsu;2016;http://link.springer.com/article/10.1007/s11277-016-3381-y;Article
A blockchain-based smart grid: towards sustainable local energy markets;Computer Science - Research and Development;;33;01/fev;10.1007/s00450-017-0360-9;Esther MengelkampBenedikt NotheisenCarolin BeerDavid DauerChristof Weinhardt;2018;http://link.springer.com/article/10.1007/s00450-017-0360-9;Article
A brief overview of intelligent mobility management for future wireless mobile networks;EURASIP Journal on Wireless Communications and Networking;;2017;1;10.1186/s13638-017-0972-6;Ilsun YouYuh-Shyan ChenSherali ZeadallyFei Song;2017;http://link.springer.com/article/10.1186/s13638-017-0972-6;Article
A comprehensive study of RPL and P2P-RPL routing protocols: Implementation, challenges and opportunities;Peer-to-Peer Networking and Applications;;10;5;10.1007/s12083-016-0475-y;Ming ZhaoArun KumarPeter Han Joo ChongRongxing Lu;2017;http://link.springer.com/article/10.1007/s12083-016-0475-y;Article
A conceptual framework for a ubiquitous autonomous work system in the Engineer-To-Order environment;The International Journal of Advanced Manufacturing Technology;;78;09/dez;10.1007/s00170-015-6798-7;Damir HusejnagicAlojzij Sluga;2015;http://link.springer.com/article/10.1007/s00170-015-6798-7;Article
A conceptual-driven survey on future internet requirements, technologies, and challenges;Journal of the Brazilian Computer Society;;19;3;10.1007/s13173-013-0101-2;Antonio Marcos Alberti;2013;http://link.springer.com/article/10.1007/s13173-013-0101-2;Article
A critique of the regulation of data science in healthcare research in the European Union;BMC Medical Ethics;;18;1;10.1186/s12910-017-0184-y;John M. M. RumboldBarbara K. Pierscionek;2017;http://link.springer.com/article/10.1186/s12910-017-0184-y;Article
A cross-country model of contextual factors impacting cloud computing adoption at universities in sub-Saharan Africa;Information Systems Frontiers;;;;10.1007/s10796-017-9739-1;Humphrey M. SabiFaith-Michael E. UzokaKehbuma LangmiaFelix N. NjehClive K. Tsuma;2017;http://link.springer.com/article/10.1007/s10796-017-9739-1;Article
A dynamic service description for mobile environments;Computing;;;;10.1007/s00607-018-0611-z;Rohit VermaAbhishek Srivastava;2018;http://link.springer.com/article/10.1007/s00607-018-0611-z;Article
A framework for cloud-based context-aware information services for citizens in smart cities;Journal of Cloud Computing;;3;1;10.1186/s13677-014-0014-4;Zaheer KhanSaad Liaquat KianiKamran Soomro;2014;http://link.springer.com/article/10.1186/s13677-014-0014-4;Article
A framework for enhancing mobile workflow execution through injection of flexible security controls;Analog Integrated Circuits and Signal Processing;;;;10.1007/s10470-018-1167-8;Borja BordelRamón AlcarriaAugusto MoralesIgnacio Castillo;2018;http://link.springer.com/article/10.1007/s10470-018-1167-8;Article
A framework for service provisioning in virtual sensor networks;EURASIP Journal on Wireless Communications and Networking;;2012;1;10.1186/1687-1499-2012-135;Lambros SarakisTheodore ZahariadisHelen-Catherine LeligouMischa Dohler;2012;http://link.springer.com/article/10.1186/1687-1499-2012-135;Article
A fuzzy long-term investment planning model for a GenCo in a hybrid electricity market considering climate change impacts;Information Systems Frontiers;;19;5;10.1007/s10796-016-9707-1;Berna Tektas SivrikayaFerhan CebiHasan Hüseyin TuranNihat KasapDursun Delen;2017;http://link.springer.com/article/10.1007/s10796-016-9707-1;Article
A general architecture of a 3D visualization system for shop floor management;Journal of Intelligent Manufacturing;;;;10.1007/s10845-017-1335-1;Xiaoming QianJiachen TuPeihuang Lou;2017;http://link.springer.com/article/10.1007/s10845-017-1335-1;Article
A general perspective of Big Data: applications, tools, challenges and trends;The Journal of Supercomputing;;72;8;10.1007/s11227-015-1501-1;Lisbeth Rodríguez-MazahuaCristian-Aarón Rodríguez-EnríquezJosé Luis Sánchez-CervantesJair CervantesJorge Luis García-AlcarazGiner Alor-Hernández;2016;http://link.springer.com/article/10.1007/s11227-015-1501-1;Article
A half-moon on my skin: a memoir on life with an activity tracker;European Journal of Information Systems;;26;3;10.1057/s41303-017-0040-7;Elpida Prasopoulou;2017;http://link.springer.com/article/10.1057/s41303-017-0040-7;Article
A hybrid cluster head selection model for Internet of Things;Cluster Computing;;;;10.1007/s10586-017-1261-1;M. Praveen Kumar ReddyM. Rajasekhara Babu;2017;http://link.springer.com/article/10.1007/s10586-017-1261-1;Article
A hybrid framework for integrating multiple manufacturing clouds;The International Journal of Advanced Manufacturing Technology;;86;01/abr;10.1007/s00170-015-8177-9;Chen YangWeiming ShenTingyu LinXianbin Wang;2016;http://link.springer.com/article/10.1007/s00170-015-8177-9;Article
A lightweight and anonymous RFID tag authentication protocol with cloud assistance for e-healthcare applications;Journal of Ambient Intelligence and Humanized Computing;;;;10.1007/s12652-017-0485-5;Fan WuLili XuSaru KumariXiong LiAshok Kumar DasJian Shen;2017;http://link.springer.com/article/10.1007/s12652-017-0485-5;Article
A lightweight authentication protocol scheme for RFID security;Wuhan University Journal of Natural Sciences;;18;6;10.1007/s11859-013-0964-2;Guoheng WeiHuanguo Zhang;2013;http://link.springer.com/article/10.1007/s11859-013-0964-2;Article
A literature survey on smart cities;Science China Information Sciences;;58;10;10.1007/s11432-015-5397-4;ChuanTao YinZhang XiongHui ChenJingYuan WangDaven CooperBertrand David;2015;http://link.springer.com/article/10.1007/s11432-015-5397-4;Article
A load balancing scheme with Loadbot in IoT networks;The Journal of Supercomputing;;74;3;10.1007/s11227-017-2087-6;Hye-Young Kim;2018;http://link.springer.com/article/10.1007/s11227-017-2087-6;Article
A methodology for module portfolio planning within the service solution layer of a product–service system;The International Journal of Advanced Manufacturing Technology;;94;09/dez;10.1007/s00170-016-9976-3;Hao LiYangjian JiQifeng LiMiying YangSteve Evens;2018;http://link.springer.com/article/10.1007/s00170-016-9976-3;Article
A microbial fuel cell powering an all-digital piezoresistive wireless sensor system;Microsystem Technologies;;20;04/mai;10.1007/s00542-014-2104-0;T. TommasiA. ChiolerioM. CrepaldiD. Demarchi;2014;http://link.springer.com/article/10.1007/s00542-014-2104-0;Article
A microservice-based architecture for enhancing the user experience in cross-device distributed mashup UIs with multiple forms of interaction;Universal Access in the Information Society;;;;10.1007/s10209-017-0606-0;Antonio Jesús Fernández-GarcíaLuis IribarneAntonio CorralJavier CriadoJames Z. Wang;2017;http://link.springer.com/article/10.1007/s10209-017-0606-0;Article
A mobile-based solution for supporting end-users in the composition of services;Multimedia Tools and Applications;;76;15;10.1007/s11042-016-3910-4;Pedro ValderasVictoria TorresIgnacio MansanetVicente Pelechano;2017;http://link.springer.com/article/10.1007/s11042-016-3910-4;Article
A nanocommunication system for endocrine diseases;Cluster Computing;;20;1;10.1007/s10586-017-0761-3;Diogo Caldeira FerreiraLuis Paulo ReisNuno Vasco Lopes;2017;http://link.springer.com/article/10.1007/s10586-017-0761-3;Article
A new approach for data processing in supply chain network based on FPGA;The International Journal of Advanced Manufacturing Technology;;84;01/abr;10.1007/s00170-015-7803-x;Xiaofu ZouFei TaoPenglong JiangShixin GuKan QiaoYing ZuoLida Xu;2016;http://link.springer.com/article/10.1007/s00170-015-7803-x;Article
A new computing environment for collective privacy protection from constrained healthcare devices to IoT cloud services;Cluster Computing;;;;10.1007/s10586-017-1298-1;Ahmed M. ElmiserySeungmin RhoMohamed Aborizka;2017;http://link.springer.com/article/10.1007/s10586-017-1298-1;Article
A new conceptual lens for marketing: a configurational perspective based on the business model concept;AMS Review;;7;03/abr;10.1007/s13162-017-0107-6;Alexander LeischnigBjörn S. IvensNadine Kammerlander;2017;http://link.springer.com/article/10.1007/s13162-017-0107-6;Article
A new strategy for integrated urban water management in China: Sponge city;Science China Technological Sciences;;61;3;10.1007/s11431-017-9170-5;Hao WangChao MeiJiaHong LiuWeiWei Shao;2018;http://link.springer.com/article/10.1007/s11431-017-9170-5;Article
A novel cost-optimizing demand response control for a heat pump heated residential building;Building Simulation;;11;3;10.1007/s12273-017-0425-5;Vahid ArabzadehBehrang AlimohammadisagvandJuha JokisaloKai Siren;2018;http://link.springer.com/article/10.1007/s12273-017-0425-5;Article
A novel medical internet of things perception system based on visual image encryption and intrusion detection;Cluster Computing;;;;10.1007/s10586-018-1944-2;Aiying GuoMeihua XuFeng RanHaiyong Wang;2018;http://link.springer.com/article/10.1007/s10586-018-1944-2;Article
A novel remote optical coding for PON monitoring systems using fiber bragg grating;Telecommunication Systems;;;;10.1007/s11235-018-0423-7;Kelvia Aragão FragosoAlisson da Conceição FerreiraDayse Gonçalves Correia BandeiraFábio Alencar MendonçaJoel J. P. C. RodriguesVictor Hugo C. de AlbuquerqueGlendo de Freitas Guimarães;2018;http://link.springer.com/article/10.1007/s11235-018-0423-7;Article
A one-stop logistic services framework supporting global supply chain collaboration;Journal of Systems Science and Systems Engineering;;25;2;10.1007/s11518-016-5309-1;Amy J. C. TrappeyCharles V. TrappeySandy W. C. ChangW. T. LeeTun Nien Hsu;2016;http://link.springer.com/article/10.1007/s11518-016-5309-1;Article
A patent search strategy based on machine learning for the emerging field of service robotics;Scientometrics;;111;2;10.1007/s11192-017-2268-3;Florian KreuchauffVladimir Korzinov;2017;http://link.springer.com/article/10.1007/s11192-017-2268-3;Article
A performance evaluation of information security training in public sector;Journal of Computer Virology and Hacking Techniques;;13;4;10.1007/s11416-017-0305-7;Sung-Kyu ParkSong-Ha LeeTaek-Young KimHyo-Jung JunTae-Sung Kim;2017;http://link.springer.com/article/10.1007/s11416-017-0305-7;Article
A review of digital manufacturing-based hybrid additive manufacturing processes;The International Journal of Advanced Manufacturing Technology;;95;05/ago;10.1007/s00170-017-1345-3;Li ChongSeeram RamakrishnaSunpreet Singh;2018;http://link.springer.com/article/10.1007/s00170-017-1345-3;Article
A risk management system for meteorological disasters of solar greenhouse vegetables;Precision Agriculture;;18;6;10.1007/s11119-017-9514-9;Ming LiSining ChenFang LiuLi ZhaoQingyu XueHui WangMeixiang ChenPeng LeiDongmei WenJorge Antonio Sanchez-MolinaJose Fernando BienvenidoZhenfa LiXinting Yang;2017;http://link.springer.com/article/10.1007/s11119-017-9514-9;Article
A secure ECC-based RFID mutual authentication protocol for internet of things;The Journal of Supercomputing;;;;10.1007/s11227-016-1861-1;Amjad Ali AlamrFirdous KausarJongsung KimChangho Seo;2016;http://link.springer.com/article/10.1007/s11227-016-1861-1;Article
A secure enhanced privacy-preserving key agreement protocol for wireless mobile networks;Telecommunication Systems;;;;10.1007/s11235-018-0446-0;Vanga OdeluSherali ZeadallyAshok Kumar DasMohammad WazidDebiao He;2018;http://link.springer.com/article/10.1007/s11235-018-0446-0;Article
A security-and quality-aware system architecture for Internet of Things;Information Systems Frontiers;;18;4;10.1007/s10796-014-9538-x;Sabrina SicariCinzia CappielloFrancesco De PellegriniDaniele MiorandiAlberto Coen-Porisini;2016;http://link.springer.com/article/10.1007/s10796-014-9538-x;Article
A semantic approach for QoS specification of communication services using QoE parameters;Journal of the Brazilian Computer Society;;19;3;10.1007/s13173-012-0094-2;José Cé JúniorAchilles C. PrudêncioRoberto WillrichMadalena P. da Silva;2013;http://link.springer.com/article/10.1007/s13173-012-0094-2;Article
A study on supply chain investment decision-making and coordination in the Big Data environment;Annals of Operations Research;;;;10.1007/s10479-017-2424-4;Pan LiuShu-ping Yi;2017;http://link.springer.com/article/10.1007/s10479-017-2424-4;Article
A survey of service composition in ambient intelligence environments;Artificial Intelligence Review;;40;3;10.1007/s10462-011-9283-1;Thanos G. StavropoulosDimitris VrakasIoannis Vlahavas;2013;http://link.springer.com/article/10.1007/s10462-011-9283-1;Article
A survey on addressing privacy together with quality of context for context management in the Internet of Things;annals of telecommunications - annales des télécommunications;;69;01/fev;10.1007/s12243-013-0387-2;Sophie ChabridonRomain LabordeThierry DespratsArnaud OglazaPierrick MarieSamer Machara Marquez;2014;http://link.springer.com/article/10.1007/s12243-013-0387-2;Article
A system design method for cloud manufacturing application system;The International Journal of Advanced Manufacturing Technology;;84;01/abr;10.1007/s00170-015-8092-0;Liang Guo;2016;http://link.springer.com/article/10.1007/s00170-015-8092-0;Article
A web-based two-layered integration framework for smart devices;EURASIP Journal on Wireless Communications and Networking;;2012;1;10.1186/1687-1499-2012-150;Zhenyu WuTimo ItäläTingan TangChunhong ZhangYang JiMatti HämäläinenYunjie Liu;2012;http://link.springer.com/article/10.1186/1687-1499-2012-150;Article
A “Social Bitcoin” could sustain a democratic digital world;The European Physical Journal Special Topics;;225;17 - 18;10.1140/epjst/e2016-60156-7;Kaj-Kolja KleinebergDirk Helbing;2016;http://link.springer.com/article/10.1140/epjst/e2016-60156-7;Article
AI assisted ethics;Ethics and Information Technology;;18;2;10.1007/s10676-016-9400-6;Amitai EtzioniOren Etzioni;2016;http://link.springer.com/article/10.1007/s10676-016-9400-6;Article
APIReal: an API recognition and linking approach for online developer forums;Empirical Software Engineering;;;;10.1007/s10664-018-9608-7;Deheng YeLingfeng BaoZhenchang XingShang-Wei Lin;2018;http://link.springer.com/article/10.1007/s10664-018-9608-7;Article
Abstracts from the 25th European Society for Animal Cell Technology Meeting: Cell Technologies for Innovative Therapies;BMC Proceedings;;12;1;10.1186/s12919-018-0097-x;;2018;http://link.springer.com/article/10.1186/s12919-018-0097-x;Article
Abstracts of the XXXVIII Congress of the Spanish Society of Physiological Sciences (SECF), 13-16 September 2016, Zaragoza, Spain;Journal of Physiology and Biochemistry;;72;1;10.1007/s13105-016-0508-2;;2016;http://link.springer.com/article/10.1007/s13105-016-0508-2;Article
Adding sense to the Internet of Things;Personal and Ubiquitous Computing;;16;3;10.1007/s00779-011-0399-8;Tomás Sánchez LópezDamith C. RanasingheMark HarrisonDuncan McFarlane;2012;http://link.springer.com/article/10.1007/s00779-011-0399-8;Article
Advanced manufacturing systems: socialization characteristics and trends;Journal of Intelligent Manufacturing;;28;5;10.1007/s10845-015-1042-8;F. TaoY. ChengL. ZhangA. Y. C. Nee;2017;http://link.springer.com/article/10.1007/s10845-015-1042-8;Article
Advancing a sustainable sharing economy with interdisciplinary research;uwf UmweltWirtschaftsForum;;25;01/fev;10.1007/s00550-017-0449-4;Frederik PlewniaEdeltraud Guenther;2017;http://link.springer.com/article/10.1007/s00550-017-0449-4;Article
Advancing to a Circular Economy: three essential ingredients for a comprehensive policy mix;Sustainability Science;;13;3;10.1007/s11625-017-0502-9;Leonidas Milios;2018;http://link.springer.com/article/10.1007/s11625-017-0502-9;Article
Advancing viewpoint merging in requirements engineering: a theoretical replication and explanatory study;Requirements Engineering;;22;3;10.1007/s00766-017-0271-0;Charu KhatwaniXiaoyu JinNan NiuAmy KoshofferLinda NewmanJuha Savolainen;2017;http://link.springer.com/article/10.1007/s00766-017-0271-0;Article
After the Internet: New Technologies, Social Issues, and Public Policies;Fudan Journal of the Humanities and Social Sciences;;10;3;10.1007/s40647-016-0156-5;Vincent Mosco;2017;http://link.springer.com/article/10.1007/s40647-016-0156-5;Article
Agent based smart home energy management system;CSI Transactions on ICT;;4;02/abr;10.1007/s40012-016-0115-y;Ruchi GuptaDeependra Kumar JhaSandeep Nagar;2016;http://link.springer.com/article/10.1007/s40012-016-0115-y;Article
Agent-Based Microgrid Scheduling: An ICT Perspective;Mobile Networks and Applications;;;;10.1007/s11036-017-0894-x;Fernando LezamaJorge PalominosAnsel Y. Rodríguez-GonzálezAlessandro FarinelliEnrique Munoz de Cote;2017;http://link.springer.com/article/10.1007/s11036-017-0894-x;Article
Agricultural Innovation and the Role of Institutions: Lessons from the Game of Drones;Journal of Agricultural and Environmental Ethics;;;;10.1007/s10806-017-9703-6;Per FrankeliusCharlotte NorrmanKnut Johansen;2017;http://link.springer.com/article/10.1007/s10806-017-9703-6;Article
Agricultural product monitoring system supported by cloud computing;Cluster Computing;;;;10.1007/s10586-018-2022-5;Chen JinboCao XiangliangFu Han-ChiAnthony Lam;2018;http://link.springer.com/article/10.1007/s10586-018-2022-5;Article
Algo-Rhythms and the Beat of the Legal Drum;Philosophy & Technology;;;;10.1007/s13347-017-0277-z;Ugo Pagallo;2017;http://link.springer.com/article/10.1007/s13347-017-0277-z;Article
Alternative genres in information systems research;European Journal of Information Systems;;26;3;10.1057/s41303-017-0051-4;Michel AvitalLars MathiassenUlrike Schultze;2017;http://link.springer.com/article/10.1057/s41303-017-0051-4;Article
Ambient and smartphone sensor assisted ADL recognition in multi-inhabitant smart environments;Journal of Ambient Intelligence and Humanized Computing;;7;1;10.1007/s12652-015-0294-7;Nirmalya RoyArchan MisraDiane Cook;2016;http://link.springer.com/article/10.1007/s12652-015-0294-7;Article
An Adaptive Parameter Setting Algorithm to Enhance Performance in Self-Organizing Bluetooth Low Energy Networks;Wireless Personal Communications;;87;3;10.1007/s11277-015-2619-4;Gisu ParkWoojin ParkMoonki HongKeuchul ChoWooseong ChoJihoon SeoKijun Han;2016;http://link.springer.com/article/10.1007/s11277-015-2619-4;Article
An Afterword to ‘Infrastructuring and Collaborative Design’;Computer Supported Cooperative Work (CSCW);;27;2;10.1007/s10606-017-9305-x;Helena KarastiVolkmar PipekGeoffrey C. Bowker;2018;http://link.springer.com/article/10.1007/s10606-017-9305-x;Article
An E-Conversation with Dr. Raghunath Mashelkar;Clean Technologies and Environmental Policy;;19;1;10.1007/s10098-016-1311-z;Subhas Sikdar;2017;http://link.springer.com/article/10.1007/s10098-016-1311-z;Article
An Example of Human-Centric Sensor Network: Be Responsible Platform;Wireless Personal Communications;;92;1;10.1007/s11277-016-3848-x;Nikola BulatovicNikola ŽaricSlobodan DjukanovicIgor RadusinovicMilica Pejanovic-Djurišic;2017;http://link.springer.com/article/10.1007/s11277-016-3848-x;Article
An Exhaustive Review on Internet of Things from Korea’s Perspective;Wireless Personal Communications;;90;3;10.1007/s11277-016-3404-8;Shapna MuralidharanAbhishek RoyNavrati Saxena;2016;http://link.springer.com/article/10.1007/s11277-016-3404-8;Article
An Innovative, Open, Interoperable Citizen Engagement Cloud Platform for Smart Government and Users’ Interaction;Journal of the Knowledge Economy;;7;2;10.1007/s13132-016-0361-0;Diego Reforgiato RecuperoMario CastronovoSergio ConsoliTarcisio CostanzoAldo GangemiLuigi GrassoGiorgia LodiGianluca MerendinoMisael MongiovìValentina PresuttiSalvatore Davide RapisardaSalvo RosaEmanuele Spampinato;2016;http://link.springer.com/article/10.1007/s13132-016-0361-0;Article
An IoT-based waste management system monitored by cloud;Journal of Material Cycles and Waste Management;;;;10.1007/s10163-018-0720-y;Debajyoti MisraGautam DasTriankur ChakraborttyDebaprasad Das;2018;http://link.springer.com/article/10.1007/s10163-018-0720-y;Article
An Overview of New Technologies Applied to the Management of Geoheritage;Geoheritage;;6;2;10.1007/s12371-014-0113-0;Nathalie Cayla;2014;http://link.springer.com/article/10.1007/s12371-014-0113-0;Article
An RFID-based traceability system;Telecommunication Systems;;58;3;10.1007/s11235-014-9866-7;Worapot JakkhupanSomjit Arch-intYuefeng Li;2015;http://link.springer.com/article/10.1007/s11235-014-9866-7;Article
An RFID-based tracking system for denim production processes;The International Journal of Advanced Manufacturing Technology;;90;01/abr;10.1007/s00170-016-9385-7;Mahir OnerAlp UstundagAysenur Budak;2017;http://link.springer.com/article/10.1007/s00170-016-9385-7;Article
An approach based on the domain perspective to develop WSAN applications;Software & Systems Modeling;;16;4;10.1007/s10270-015-0498-5;Taniro RodriguesFlávia C. DelicatoThais BatistaPaulo F. PiresLuci Pirmez;2017;http://link.springer.com/article/10.1007/s10270-015-0498-5;Article
An approach for composing predictive models from disparate knowledge sources in smart manufacturing environments;Journal of Intelligent Manufacturing;;;;10.1007/s10845-017-1366-7;Duck Bong Kim;2017;http://link.springer.com/article/10.1007/s10845-017-1366-7;Article
An approach to implement internal traceability in machining workshops;The International Journal of Advanced Manufacturing Technology;;88;01/abr;10.1007/s00170-016-8814-y;Rachida Rouabhia-EssalhiAbdelaziz Amirat;2017;http://link.springer.com/article/10.1007/s00170-016-8814-y;Article
An architectural approach towards Future Media Internet;Multimedia Tools and Applications;;70;1;10.1007/s11042-011-0826-x;Theodore ZahariadisFederico AlvarezJohn Paul Moore Olmstead;2014;http://link.springer.com/article/10.1007/s11042-011-0826-x;Article
An architecture for the autonomic curation of crowdsourced knowledge;Cluster Computing;;20;3;10.1007/s10586-017-0908-2;Alina PatelliPeter R. LewisAniko EkartHai WangIan NabneyDavid BennettRalph LucasAlex Cole;2017;http://link.springer.com/article/10.1007/s10586-017-0908-2;Article
An effective implementation scheme of a layer overlay representation of a hologram video technology in an M2M application environment;Cluster Computing;;18;2;10.1007/s10586-015-0430-3;Hak-Hyun ChoiSeung-Ae LimYou-Boo JeonKeun-Ho Lee;2015;http://link.springer.com/article/10.1007/s10586-015-0430-3;Article
An efficient anonymous authentication protocol using batch operations for VANETs;Multimedia Tools and Applications;;75;24;10.1007/s11042-016-3614-9;Yawei LiuZongjian HeShengjie ZhaoLiangmin Wang;2016;http://link.springer.com/article/10.1007/s11042-016-3614-9;Article
An efficient approach to monitoring environmental conditions using a wireless sensor network and NodeMCU;e & i Elektrotechnik und Informationstechnik;;;;10.1007/s00502-018-0612-9;Xhevahir BajramiIlir Murturi;2018;http://link.springer.com/article/10.1007/s00502-018-0612-9;Article
An ethical assessment model for digital disease detection technologies;Life Sciences, Society and Policy;;13;1;10.1186/s40504-017-0062-x;Kerstin Denecke;2017;http://link.springer.com/article/10.1186/s40504-017-0062-x;Article
An evolvable and transparent data as a service framework for multisource data integration and fusion;Peer-to-Peer Networking and Applications;;11;4;10.1007/s12083-017-0555-7;Zhipu XieWeifeng LvLinfang QinBowen DuRunhe Huang;2018;http://link.springer.com/article/10.1007/s12083-017-0555-7;Article
An improved low-cost yoking proof protocol based on Kazahaya’s flaws;The Journal of Supercomputing;;74;5;10.1007/s11227-017-2200-x;Nasour BagheriMasoumeh SafkhaniMojtaba Eslamnezhad NaminSamad Rostampour;2018;http://link.springer.com/article/10.1007/s11227-017-2200-x;Article
An industrial big data pipeline for data-driven analytics maintenance applications in large-scale smart manufacturing facilities;Journal of Big Data;;2;1;10.1186/s40537-015-0034-z;P. O’DonovanK. LeahyK. BrutonD. T. J. O’Sullivan;2015;http://link.springer.com/article/10.1186/s40537-015-0034-z;Article
An initial categorization of foundational research in complex technical systems;Journal of Zhejiang University-SCIENCE A;;16;9;10.1631/jzus.A1500172;Imre Horváth;2015;http://link.springer.com/article/10.1631/jzus.A1500172;Article
